type;id;longitude;latitude;ALTA;ASP;HYDROC;distance
open air;263.1;57987377;476017847;738;306,25;86,91;0
shelter;95.1;58001215;475974356;747;150,95;77,64;89,37
open air;262.1;58012286;476017452;741;356,19;76,88;0
open air;261.1;58022961;476023778;743;234,46;74,93;0
open air;90.1;58040753;476007963;739;90;63,04;0
open air;91.1;58037194;476038011;752;151,7;72,75;0
shelter;265.1;58010309;475965262;735;128,66;73,36;140,2
shelter;76.3;58009123;475953401;736;74,74;74,19;96,89
shelter;76.2;58009123;475947074;736;97,13;73,51;46,15
shelter;76.1;58009913;475937981;744;65,85;75,31;72,19
shelter;267.1;58022565;475953005;728;81,87;68,25;182,33
shelter;266.1;58015053;475957750;731;98,13;72,51;153,08
open air;268.1;58050242;475911490;742;309,56;59;0
open air;88.1;58090571;475948656;722;166,61;32,62;0
open air;150.1;58135051;476078043;735;124,7;68,04;0
open air;75.1;58134457;476065886;729;141,34;62,52;0
open air;159.1;58128527;476059955;732;114,44;58,67;0
open air;151.1;58132975;476053728;722;155,56;57,23;0
open air;73.1;58140685;476051355;723;225;54,18;0
open air;73.2;58142760;476046314;721;206,57;51,65;0
open air;135.2;58173600;476035936;723;243,44;46,33;0
open air;135.1;58179531;476036529;725;275,19;46,64;0
open air;148.1;58187240;476040977;725;356,19;48,85;0
open air;147.1;58190502;476049576;720;18,43;52,03;0
shelter;74.1;58194950;476060845;716;61,7;56,72;183,99
open air;133.1;58182496;476080416;724;144,46;68,3;0
open air;136.1;58178048;476013399;713;174,29;35,4;0
open air;205.1;58117239;475553972;471;204,44;48,5;0
open air;204.1;58140091;475558809;486;251,57;54,67;0
open air;201.1;58277104;475734459;479;120,96;37,86;0
open air;269.1;58053222;475894960;746;59,04;61,2;0
shelter;144.2;58265556;475964656;649;152,1;5,34;11,5
shelter;67.1;58278492;476265544;745;297,9;100,91;440,23
shelter;173.1;58305301;476256673;710;101,31;105,54;308,91
shelter;175.1;58405698;476283568;698;56,31;67,02;325,86
shelter;178.1;58426258;476279351;688;192,53;54,41;380,43
open air;141.1;58393574;476216618;702;26,57;61,5;0
shelter;171.1;58347182;476184460;695;143,13;85,17;207,57
shelter;174.1;58333476;476171808;682;201,37;89,28;166,1
shelter;68.1;58350873;476079553;699;108,44;77,38;93,95
shelter;69.1;58531116;475905549;474;180;7,59;120,9
shelter;172.1;58318038;476215117;695;239,04;96,73;679,42
shelter;191.1;58298137;476187429;683;161,57;108,35;421,05
open air;132.1;58213165;476060568;727;300,96;58,32;121,76
shelter;77.1;58218669;476073412;714;32,01;65,03;215,46
shelter;92.1;58211330;476074746;716;331,7;64,82;232,47
shelter;149.1;58213332;476082085;703;45;68,58;286,04
shelter;158.1;58226008;476085755;705;194,93;71;317,43
shelter;145.1;58216334;476094262;710;220,24;76,13;377,12
open air;152.1;58188812;476099933;735;161,57;77,52;0
shelter;154.1;58230846;476115445;727;198,44;85,13;556,44
shelter;79.1;58174175;476179038;702;339,23;58,9;163,15
shelter;144.1;58214457;476173909;759;328;83,03;162,41
shelter;87.1;58226592;476153267;738;112,89;92,78;258,57
shelter;86.1;58220462;476152517;757;113,2;89,14;170,13
open air;130.1;58200196;476150890;754;321,71;80,12;0
open air;153.1;58200196;476145261;755;225;82,23;0
open air;131.1;58192690;476143384;750;210,96;79;0
shelter;78.1;58181431;476144510;751;90;75,44;0
shelter;164.1;58147904;476128998;732;347,74;67,91;105,54
open air;264.1;57969584;476010138;726;285,26;94,37;0
